"company_id","tenure_days","is_new_customer","is_mature_customer","days_to_contract_end","contract_expiring_soon","baseline_type","baseline_weekly_avg","max_weekly_activity","activities_w_1","activities_w_2","activities_w_3","activities_w_4","total_4weeks","avg_weekly_4weeks","week_1_vs_2_change","week_2_vs_3_change","week_3_vs_4_change","activity_correlation","current_vs_baseline_ratio","current_vs_max_ratio","weeks_with_activity","weeks_with_zero_activity","consecutive_zero_weeks","activity_consistency","total_activities","activities_last_30d","activities_last_7d","activities_last_3d","unique_tasks_30d","unique_days_active_30d","unique_days_active_7d","days_since_last_activity","activities_per_day_30d","activities_per_active_day_30d","strong_decline","moderate_decline","stable_trend","growing_trend","no_recent_activity","sporadic_user","inactive_user","dormant_user","below_baseline","well_below_max","highly_inconsistent","zero_activity_period","churn_probability","health_score","risk_level"
132199,687,0,1,31,0,"weeks_5-12",0.125,29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,757,0,0,0,0,0,0,84,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.976,2.4,"Critical Risk"
122632,1009,0,1,8,1,"weeks_5-12",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,11,0,0,0,0,0,0,333,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.974,2.6,"Critical Risk"
126422,880,0,1,22,1,"weeks_5-12",0.125,54,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2082,0,0,0,0,0,0,74,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.974,2.6,"Critical Risk"
135315,587,0,1,22,1,"weeks_5-12",1.25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,340,0,0,0,0,0,0,45,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.974,2.6,"Critical Risk"
5958,1477,0,1,9,1,"weeks_5-12",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,151,0,0,0,0,0,0,1293,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.972,2.8,"Critical Risk"
8582,1280,0,1,24,1,"weeks_5-12",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,164,0,0,0,0,0,0,298,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.972,2.8,"Critical Risk"
7915,1328,0,1,23,1,"weeks_5-12",3.125,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4282,0,0,0,0,0,0,68,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.97,3,"Critical Risk"
125397,902,0,1,10,1,"weeks_5-12",0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,509,0,0,0,0,0,0,537,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.968,3.2,"Critical Risk"
1194,2195,0,1,14,1,"weeks_5-12",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,0,0,0,1244,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.968,3.2,"Critical Risk"
135753,571,0,1,22,1,"weeks_5-12",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,437,0,0,0,0,0,0,278,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.968,3.2,"Critical Risk"
