company_id,tenure_days,is_new_customer,is_mature_customer,days_to_contract_end,contract_expiring_soon,baseline_type,baseline_weekly_avg,max_weekly_activity,activities_w_1,activities_w_2,activities_w_3,activities_w_4,total_4weeks,avg_weekly_4weeks,week_1_vs_2_change,week_2_vs_3_change,week_3_vs_4_change,activity_correlation,current_vs_baseline_ratio,current_vs_max_ratio,weeks_with_activity,weeks_with_zero_activity,consecutive_zero_weeks,activity_consistency,total_activities,activities_last_30d,activities_last_7d,activities_last_3d,unique_tasks_30d,unique_days_active_30d,unique_days_active_7d,days_since_last_activity,activities_per_day_30d,activities_per_active_day_30d,strong_decline,moderate_decline,stable_trend,growing_trend,no_recent_activity,sporadic_user,inactive_user,dormant_user,below_baseline,well_below_max,highly_inconsistent,zero_activity_period,churn_probability,health_score,risk_level,company,num_contacts,quantity
147671,249,0,0,170,0,weeks_5-12,73.125,111,0,0,0,42,42,10.5,0.0,0.0,-1.0,-0.774596669241483,0.143589743589744,0.0945945945945946,1,3,3,1.9811320754717,1888,57,0,0,2,5,0,25,1.9,11.4,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,GDM Technical GmbH,0,10
148125,235,0,0,555,0,weeks_5-12,65.125,87,0,0,0,47,47,11.75,0.0,0.0,-1.0,-0.774596669241483,0.18042226487524,0.135057471264368,1,3,3,1.9831223628692,1418,65,0,0,3,5,0,25,2.16666666666667,13.0,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,expert Kröhnke GmbH,10,8
148209,233,0,0,507,0,weeks_5-12,13.875,22,0,0,0,10,10,2.5,0.0,0.0,-1.0,-0.774596669241483,0.18018018018018,0.113636363636364,1,3,3,1.92307692307692,524,12,0,0,2,4,0,25,0.4,3.0,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,ChiroVitalis Keie & Rasmussen GbR,3,5
148224,232,0,0,497,0,weeks_5-12,46.0,86,0,0,0,28,28,7.0,0.0,0.0,-1.0,-0.774596669241483,0.152173913043478,0.0813953488372093,1,3,3,1.97183098591549,1095,39,0,0,4,6,0,25,1.3,6.5,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Planungsbüro Lampe GmbH,0,2
148499,223,0,0,150,0,weeks_5-12,48.625,117,0,0,0,20,20,5.0,0.0,0.0,-1.0,-0.774596669241483,0.102827763496144,0.0427350427350427,1,3,3,1.96078431372549,1606,31,0,0,2,4,0,25,1.03333333333333,7.75,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Zerres GmbH,0,5
148572,221,0,0,600,0,weeks_5-12,110.125,139,0,0,0,61,61,15.25,0.0,0.0,-1.0,-0.774596669241483,0.138479001135074,0.109712230215827,1,3,3,1.98697068403909,2493,83,0,0,3,4,0,25,2.76666666666667,20.75,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Common Wadden Sea Secretariat,8,10
154482,125,0,0,252,0,weeks_5-12,25.375,57,0,0,0,27,27,6.75,0.0,0.0,-1.0,-0.774596669241483,0.266009852216749,0.118421052631579,1,3,3,1.97080291970803,489,33,0,0,3,5,0,25,1.1,6.6,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Flamme de Gonzalez Haus- und Objektmanagement,0,9
154991,116,0,0,263,0,weeks_5-12,14.5,21,0,0,0,13,13,3.25,0.0,0.0,-1.0,-0.774596669241483,0.224137931034483,0.154761904761905,1,3,3,1.94029850746269,180,18,0,0,1,4,0,25,0.6,4.5,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,NH Metalltechnik,1,7
154679,122,0,0,265,0,weeks_5-12,22.125,30,0,0,0,9,9,2.25,0.0,0.0,-1.0,-0.774596669241483,0.101694915254237,0.075,1,3,3,1.91489361702128,188,13,0,0,1,4,0,25,0.433333333333333,3.25,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,LVM Versicherungsagentur,1,3
154617,123,0,0,272,0,weeks_5-12,61.125,78,0,0,0,46,46,11.5,0.0,0.0,-1.0,-0.774596669241483,0.188139059304703,0.147435897435897,1,3,3,1.98275862068966,541,65,0,0,2,6,0,25,2.16666666666667,10.8333333333333,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,La cave de Bacchus Weinhandel GmbH,4,11
