"company_id","company","priority_rank","priority_score","priority_label","churn_probability","risk_category","primary_risk_factor","recommended_action","value_tier","num_licenses","product","contract_type","ARR","estimated_mrr","tenure_days","days_to_renewal","renewal_urgency","activities_last_4w","activity_vs_baseline_ratio","days_since_last_activity","activity_trend","week_1_activities","week_2_activities","week_3_activities","week_4_activities","total_spent","spent_per_tenure_day","reference_date","total_activities","activities_per_week_baseline","avg_activity_last_4w","is_onboarding","is_early","is_growth","is_mature","activity_x_onboarding","activity_x_mature","baseline_ratio_x_mature","contract_duration_months","product_type","revenue_weight","license_weight","value_weight","urgency_multiplier","monthly_revenue_at_risk","annual_revenue_at_risk"
168267,"HR Firefighters",12,58.72,"P2 - Urgent",0.734,"Critical","Severe decline - 70% drop in usage","Health check call","Micro",2,"Project","Annual",2756.32941176471,229.694117647059,17,-1,"Overdue / MTM",42,0.25,10,-0.948683298050514,0,6,18,18,130.16,7.65647058823529,2025-12-18,102,42,10.5,1,0,0,0,42,0,0,12,"project",0.8,0.2,0.8,1,229.694117647059,2756.32941176471
120040,"The Dartmoor Inn",13,58.2,"P2 - Urgent",0.97,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",10,"Attendance","2-Year",510.14387755102,42.5119897959184,1176,-1,"Overdue / MTM",0,0,1176,0,0,0,0,0,1666.47,1.41706632653061,2025-12-18,0,0,0,0,0,0,1,0,0,0,24,"attendance",0.4,0.6,0.6,1,42.5119897959184,510.14387755102
150887,"M&K - international",13,58.2,"P2 - Urgent",0.582,"High","Severe decline - 70% drop in usage","Health check call","Micro",4,"Attendance","2-Year",8439.42857142857,703.285714285714,14,-1,"Overdue / MTM",9,0.264705882352941,10,0.105409255338946,0,6,3,0,328.2,23.4428571428571,2025-12-18,17,8.5,2.25,1,0,0,0,9,0,0,24,"attendance",1,0.2,1,1,703.285714285714,8439.42857142857
168988,"AXA Hauptvertretung Reith",14,58,"P2 - Urgent",0.58,"High","Poor onboarding - Never launched","Onboarding review + training","Micro",2,"Attendance","2-Year",6563.88,546.99,10,-1,"Overdue / MTM",14,0.357142857142857,14,-0.258198889747161,0,0,14,0,182.33,18.233,2025-12-18,14,9.8,3.5,1,0,0,0,14,0,0,24,"attendance",1,0.2,1,1,546.99,6563.88
6540,"VLE Traffic&Solution GmbH",15,57.76,"P2 - Urgent",0.722,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Large",27,"Documentation","Monthly",1658.83071230342,138.235892691952,1081,-1,"Overdue / MTM",0,0,1081,0,0,0,0,0,4981.1,4.60786308973173,2025-12-18,0,0,0,0,0,0,1,0,0,0,1,"documentation",0.6,0.8,0.8,1,138.235892691952,1658.83071230342
160360,"Dontera Facility GmbH",16,57.6,"P2 - Urgent",0.72,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Small",7,"Project","2-Year",2157.62105263158,179.801754385965,171,-1,"Overdue / MTM",0,0,52,0,0,0,0,0,1024.87,5.9933918128655,2025-12-18,28,1.14619883040936,0,0,0,1,0,0,0,0,24,"project",0.8,0.4,0.8,1,179.801754385965,2157.62105263158
837,"Bauworks-plus GmbH",17,57.6,"P2 - Urgent",0.96,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",10,"Attendance","Annual",529.427072997874,44.1189227498228,1411,-1,"Overdue / MTM",0,0,1411,0,0,0,0,0,2075.06,1.47063075832743,2025-12-18,0,0,0,0,0,0,1,0,0,0,12,"attendance",0.4,0.6,0.6,1,44.1189227498228,529.427072997874
155726,"Ortsgemeinde Helferskirchen",18,56.64,"P2 - Urgent",0.708,"Critical","Negative trend - Consistent decline","Proactive check-in","Micro",3,"Documentation","2-Year",2071.54285714286,172.628571428571,119,-1,"Overdue / MTM",33,0.661556603773585,10,-0.948683298050514,0,7,13,13,684.76,5.75428571428571,2025-12-18,212,12.4705882352941,8.25,0,0,1,0,0,0,0,24,"documentation",0.8,0.2,0.8,1,172.628571428571,2071.54285714286
146804,"Dr. Pipe Ostwestfalen GmbH",19,56.52,"P2 - Urgent",0.942,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",10,"Attendance","Monthly",550.113103448276,45.8427586206897,435,-1,"Overdue / MTM",0,0,323,0,0,0,0,0,664.72,1.52809195402299,2025-12-18,585,9.41379310344828,0,0,0,0,1,0,0,0,1,"attendance",0.4,0.6,0.6,1,45.8427586206897,550.113103448276
6483,"Lohnbetrieb Riekmann",20,56.4,"P2 - Urgent",0.94,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",10,"Documentation","Monthly",1081.12994350282,90.0941619585687,1593,-1,"Overdue / MTM",0,0,1593,0,0,0,0,0,4784,3.00313873195229,2025-12-18,0,0,0,0,0,0,1,0,0,0,1,"documentation",0.6,0.6,0.6,1,90.0941619585687,1081.12994350282
163036,"Elektrotechnische Anlagen Bollfras",21,56.32,"P2 - Urgent",0.704,"Critical","Negative trend - Consistent decline","Proactive check-in","Micro",4,"Documentation","2-Year",2331.11489361702,194.259574468085,141,-1,"Overdue / MTM",29,0.510614385614386,10,-1,0,4,10,15,913.02,6.47531914893617,2025-12-18,286,14.1985815602837,7.25,0,0,1,0,0,0,0,24,"documentation",0.8,0.2,0.8,1,194.259574468085,2331.11489361702
168820,"Derya Yalimcan LL.M (UK) e.K.",21,56.32,"P2 - Urgent",0.704,"Critical","Negative trend - Consistent decline","Onboarding review + training","Medium",10,"Documentation","Monthly",2252.46315789474,187.705263157895,19,-1,"Overdue / MTM",124,0.546382189239332,10,-1,0,3,31,90,118.88,6.25684210526316,2025-12-18,154,56.7368421052632,31,1,0,0,0,124,0,0,1,"documentation",0.8,0.6,0.8,1,187.705263157895,2252.46315789474
167915,"IT-SYS-DATA Reuß",22,56.2,"P2 - Urgent",0.562,"High","Poor onboarding - Never launched","Onboarding review + training","Micro",2,"Documentation","2-Year",8407.27058823529,700.605882352941,17,-1,"Overdue / MTM",5,0.379464285714286,10,-0.105409255338946,0,1,4,0,397.01,23.3535294117647,2025-12-18,8,3.29411764705882,1.25,1,0,0,0,5,0,0,24,"documentation",1,0.2,1,1,700.605882352941,8407.27058823529
168632,"DOC e.V.",22,56.2,"P2 - Urgent",0.562,"High","Poor onboarding - Never launched","Onboarding review + training","Micro",4,"Attendance","2-Year",14586.4,1215.53333333333,9,-1,"Overdue / MTM",10,0.321428571428571,10,-0.105409255338946,0,3,7,0,364.66,40.5177777777778,2025-12-18,10,7.77777777777778,2.5,1,0,0,0,10,0,0,24,"attendance",1,0.2,1,1,1215.53333333333,14586.4
141799,"Gemeinschaftspraxis Dres. Hegele",23,56.16,"P2 - Urgent",0.936,"Critical","Dormant - No activity 30+ days","Re-engagement campaign","Medium",13,"Attendance","Annual",928.274594594595,77.3562162162162,555,-1,"Overdue / MTM",0,0,31,0,0,0,0,0,1431.09,2.57854054054054,2025-12-18,1706,21.5171171171171,0,0,0,0,1,0,0,0,12,"attendance",0.4,0.6,0.6,1,77.3562162162162,928.274594594595
